uid,src_ip,dst_ip,predicted_label,actual_label,ts,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type
CpGtRY3Pj9mtd5uki,192.168.100.31,192.168.100.189,0,1,2023-09-17 06:31:38.154604800,,0.000589,1.0,1.0,0.0,0.0,1697.411574,1697.411574,3394.823149,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,client->server,1,ftp_version
C2InAm3mUGqNJLB87j,192.168.100.99,192.168.100.189,0,1,2023-09-17 08:14:50.841177088,,0.023514,1.0,1.0,0.0,0.0,42.527797,42.527797,85.055594,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,client->server,1,ftp_version
C9Fdxh4ioupV9jTpDf,192.168.100.23,192.168.100.189,0,1,2023-09-17 11:51:14.176423168,,0.000845,1.0,1.0,0.0,0.0,1183.494357,1183.494357,2366.988713,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,client->server,1,ftp_version
CRDe2n2R8V8xVXkKjf,192.168.100.115,192.168.100.154,0,1,2023-09-16 19:47:52.392333056,,0.00997,5.0,3.0,0.0,1.0,501.507043,300.904226,802.411268,0.6,168.0,32.0,40.0,104.0,32.0,40.0,2.0,2.0,0.0,0.0,1.0,7.0,4112.357749,64896.0,64320.0,507.0,503.0,client->server,1,smtp_version
CjVjjY3tGfxUTvvs3c,192.168.100.104,192.168.100.154,0,1,2023-09-17 13:10:11.177391104,,0.007989,5.0,3.0,0.0,1.0,625.866062,375.519637,1001.385699,0.6,168.0,32.0,40.0,104.0,32.0,40.0,2.0,2.0,0.0,0.0,1.0,7.0,5132.101707,64896.0,64320.0,507.0,503.0,client->server,1,smtp_version
CETEv4FjyDZyZteGk,192.168.100.31,192.168.100.189,0,1,2023-09-16 19:41:12.638541056,,0.01528,5.0,3.0,0.0,1.0,327.224953,196.334972,523.559924,0.6,168.0,32.0,40.0,104.0,32.0,40.0,2.0,2.0,0.0,0.0,1.0,7.0,4123.034405,64896.0,64320.0,507.0,503.0,client->server,1,ftp_version
CrU9nV16KmyOjIqoY8,192.168.100.31,192.168.100.189,0,1,2023-09-17 15:33:53.924519936,,0.000891,1.0,1.0,0.0,0.0,1122.371956,1122.371956,2244.743912,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,client->server,1,ftp_version
CEHsem2TOFQwhieYP,192.168.100.31,192.168.100.154,0,1,2023-09-17 03:19:29.199197952,,0.009263,5.0,3.0,0.0,1.0,539.779677,323.867806,863.647483,0.6,168.0,32.0,40.0,104.0,32.0,40.0,2.0,2.0,0.0,0.0,1.0,7.0,4426.193349,64896.0,64320.0,507.0,503.0,client->server,1,smtp_version
CiSxbl1SpQFxPwGlD5,192.168.100.23,192.168.100.154,0,1,2023-09-17 11:15:22.233262080,,0.006723,5.0,3.0,0.0,1.0,743.723668,446.234201,1189.957869,0.6,168.0,32.0,40.0,104.0,32.0,40.0,2.0,2.0,0.0,0.0,1.0,7.0,6098.53408,64896.0,64320.0,507.0,503.0,client->server,1,smtp_version
CjHaG121B96cChlxk9,192.168.100.49,192.168.100.189,0,1,2023-09-17 10:09:46.146866176,,0.000726,1.0,1.0,0.0,0.0,1377.439737,1377.439737,2754.879475,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,client->server,1,ftp_version
CHOBNY1mqKHiDn5Xi,192.168.100.49,192.168.100.154,0,1,2023-09-16 16:33:19.680375040,,0.006017,5.0,3.0,0.0,1.0,830.98308,498.589848,1329.572929,0.6,168.0,32.0,40.0,104.0,32.0,40.0,2.0,2.0,0.0,0.0,1.0,7.0,6814.061259,64896.0,64320.0,507.0,503.0,client->server,1,smtp_version
CNpWBe3LODeea4dQg5,192.168.100.99,192.168.100.189,0,1,2023-09-17 11:47:52.115299072,,0.00079,1.0,1.0,0.0,0.0,1265.631865,1265.631865,2531.26373,1.0,40.0,40.0,40.0,20.0,20.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64896.0,0.0,64896.0,0.0,client->server,1,ftp_version
